,country_of_citizenship,country_being_visited,visa_requirements
376,senegal,saint vincent and the grenadines,visa not required
377,senegal,nigeria,visa not required
378,senegal,el salvador,visa required
379,senegal,armenia,visa required
380,senegal,ecuador,visa required
381,senegal,poland,visa required
382,senegal,mozambique,visa on arrival
383,senegal,argentina,visa required
384,senegal,syria,visa required
385,senegal,finland,visa required
386,senegal,austria,visa required
387,senegal,sweden,visa required
388,senegal,somalia,visa on arrival
389,senegal,tajikistan,evisa
390,senegal,mauritius,visa on arrival
391,senegal,belarus,visa required
392,senegal,chile,visa required
393,senegal,central african republic,visa not required
394,senegal,tanzania,visa required 
395,senegal,cameroon,visa required
396,senegal,nauru,visa required
397,senegal,mali,visa not required
398,senegal,estonia,visa required
399,senegal,trinidad and tobago,visa required
400,senegal,malawi,visa required
401,senegal,togo,visa not required
402,senegal,hungary,visa required
403,senegal,mexico,visa required
404,senegal,tuvalu,visa on arrival
405,senegal,egypt,visa required
406,senegal,slovakia,visa required
407,senegal,russia,visa required
408,senegal,guinea,visa not required
409,senegal,bahamas,visa required
410,senegal,uzbekistan,evisa
411,senegal,peru,visa required
412,senegal,malta,visa required
413,senegal,angola,visa required
414,senegal,andorra,visa required
415,senegal,niger,visa not required
416,senegal,belize,visa required
417,senegal,georgia,evisa
418,senegal,papua new guinea,visa required
419,senegal,bangladesh,visa on arrival
420,senegal,portugal,visa required
421,senegal,south africa,visa required
422,senegal,colombia,visa required
423,senegal,kuwait,visa required
424,senegal,venezuela,visa required
425,senegal,algeria,visa required
426,senegal,republic of the congo,visa required
427,senegal,jamaica,visa required
428,senegal,tonga,visa required
429,senegal,kenya,visa required
430,senegal,gabon,evisa
431,senegal,gambia,visa not required
432,senegal,croatia,visa required
433,senegal,norway,visa required
434,senegal,sri lanka,evisa / visa on arrival
435,senegal,saint lucia,visa on arrival
436,senegal,rwanda,visa not required
437,senegal,fiji,visa not required
438,senegal,cambodia,evisa / visa on arrival
439,senegal,united arab emirates,visa required
440,senegal,bhutan,visa required
441,senegal,uganda,evisa / visa on arrival
442,senegal,vietnam,visa required
443,senegal,netherlands,visa required
444,senegal,eritrea,visa required
445,senegal,tunisia,visa not required
446,senegal,guyana,visa required
447,senegal,turkmenistan,visa required
448,senegal,south sudan,electronic visa
449,senegal,iran,visa on arrival
450,senegal,kyrgyzstan,evisa
451,senegal,canada,visa required
452,senegal,france,visa required
453,senegal,oman,visa required
454,senegal,mongolia,visa required
455,senegal,cuba,visa required
456,senegal,germany,visa required
457,senegal,palau,visa on arrival
458,senegal,iraq,visa required
459,senegal,india,e-visa
460,senegal,côte d'ivoire,visa not required
461,senegal,slovenia,visa required
462,senegal,yemen,visa required
463,senegal,denmark,visa required
464,senegal,china,visa required
465,senegal,ukraine,visa required
466,senegal,serbia,visa required
467,senegal,marshall islands,visa required
468,senegal,lithuania,visa required
469,senegal,botswana,visa required
470,senegal,monaco,visa required
471,senegal,saudi arabia,visa required
472,senegal,azerbaijan,visa required
473,senegal,brunei,visa required
474,senegal,lesotho,evisa
475,senegal,barbados,visa not required
476,senegal,nepal,visa on arrival
477,senegal,malaysia,visa not required
478,senegal,guatemala,visa required
479,senegal,greece,visa required
480,senegal,solomon islands,visa required
481,senegal,zimbabwe,evisa / visa on arrival
482,senegal,afghanistan,visa required
483,senegal,maldives,visa on arrival
484,senegal,liberia,visa not required
485,senegal,saint kitts and nevis,evisa
486,senegal,jordan,visa required
487,senegal,bahrain,evisa
488,senegal,dominica,visa not required
489,senegal,liechtenstein,visa required
490,senegal,haiti,visa not required
491,senegal,new zealand,visa required
492,senegal,latvia,visa required
493,senegal,djibouti,evisa
494,senegal,grenada,visa required
495,senegal,democratic republic of the congo,visa required
496,senegal,singapore,visa not required
497,senegal,nicaragua,visa on arrival
498,senegal,burkina faso,visa not required
499,senegal,eswatini,visa required
500,senegal,zambia,evisa
501,senegal,samoa,entry permit on arrival
502,senegal,uruguay,visa required
503,senegal,montenegro,visa required
504,senegal,equatorial guinea,visa required
505,senegal,bosnia and herzegovina,visa required
506,senegal,ghana,visa not required
507,senegal,moldova,visa required
508,senegal,dominican republic,visa required
509,senegal,guinea-bissau,visa not required
510,senegal,paraguay,visa required
511,senegal,switzerland,visa required
512,senegal,honduras,visa required
513,senegal,libya,visa required
514,senegal,myanmar,visa required
515,senegal,belgium,visa required
516,senegal,kiribati,visa required
517,senegal,antigua and barbuda,electronic entry visa
518,senegal,japan,visa required
519,senegal,bulgaria,visa required
520,senegal,bolivia,visa on arrival
521,senegal,thailand,visa required
522,senegal,cyprus,visa required
523,senegal,micronesia,visa not required
524,senegal,sierra leone,visa not required
525,senegal,mauritania,visa not required
526,senegal,comoros,visa on arrival
527,senegal,burundi,visa required
528,senegal,indonesia,visa not required
529,senegal,brazil,visa required
530,senegal,qatar,evisa
531,senegal,sudan,visa required
532,senegal,kazakhstan,visa required
533,senegal,lebanon,visa required
534,senegal,spain,visa required
535,senegal,suriname,evisa
536,senegal,namibia,visa required
537,senegal,san marino,visa required
538,senegal,ireland,visa required
539,senegal,seychelles,visitor's permit on arrival
540,senegal,ethiopia,evisa / visa on arrival
541,senegal,madagascar,evisa / visa on arrival
542,senegal,pakistan,online visa
543,senegal,turkey,visa required
544,senegal,romania,visa required
545,turkey,laos,evisa / visa on arrival
546,turkey,albania,visa not required
547,turkey,chad,visa required
548,turkey,benin,evisa / visa on arrival
549,turkey,iceland,visa required
550,turkey,vanuatu,visa not required
551,turkey,panama,visa not required
552,turkey,israel,visa required
553,turkey,morocco,visa not required
554,turkey,united states,visa required
555,turkey,timor-leste,visa on arrival
556,turkey,costa rica,visa not required
557,turkey,italy,visa required
558,turkey,saint vincent and the grenadines,visa not required
559,turkey,nigeria,visa required
560,turkey,el salvador,visa not required
561,turkey,armenia,evisa / visa on arrival
562,turkey,ecuador,visa not required
563,turkey,poland,visa required
564,turkey,mozambique,visa on arrival
565,turkey,argentina,visa not required
566,turkey,syria,visa required
567,turkey,finland,visa required
568,turkey,austria,visa required
569,turkey,sweden,visa required
570,turkey,somalia,visa on arrival
571,turkey,tajikistan,visa not required
572,turkey,mauritius,visa not required
573,turkey,belarus,visa not required
574,turkey,chile,visa not required
575,turkey,central african republic,visa required
576,turkey,tanzania,evisa / visa on arrival
577,turkey,cameroon,visa required
578,turkey,nauru,visa required
579,turkey,mali,visa required
580,turkey,estonia,visa required
581,turkey,trinidad and tobago,visa not required
582,turkey,malawi,evisa
583,turkey,togo,visa on arrival
584,turkey,hungary,visa required
